"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"TM9SF2",16.77796,16.73374,17.10927,17.16967,16.49387,16.92673,16.92524,16.57691,17.36728,16.92253,17.17839,16.83344,16.95195,16.9736,16.73334,17.00007,16.73586,16.64433,16.37108,16.74324,16.73799,16.22976
"TSG101",15.48167,15.64761,15.81733,15.62573,15.66767,15.69257,15.50079,15.60375,16.02918,15.80891,15.95003,15.9626,15.83007,15.41784,15.5548,15.55014,15.31825,15.9953,15.6874,15.61234,15.26216,15.09889
"CPNE1",18.40207,17.85519,17.49613,18.26151,17.33832,17.12236,18.21838,18.16361,17.37071,18.35338,17.20566,17.1758,18.26967,17.32859,18.34183,18.04908,17.9757,17.84972,17.32417,18.11777,18.02054,18.29243
"CCT7",18.58428,18.27955,18.5454,18.4726,18.47072,18.5103,18.52538,18.22352,18.64952,18.44125,18.4746,18.43533,18.83799,18.95177,18.65444,19.00782,18.5351,18.39254,18.63423,18.61771,18.22933,18.40042
"PRMT1",16.75554,16.59208,16.52343,16.84691,16.39869,16.47603,16.62354,16.54446,16.69557,16.42325,16.46307,16.06297,17.13638,16.80665,17.19114,17.18826,17.1945,17.2175,17.09685,17.19102,17.17525,17.01786
"AGPAT1",14.1769701335352,15.1454060042088,14.3463,14.18637,15.55676,15.24783,15.0023554725273,15.1185810507956,14.87396,15.11246,15.5879218688916,15.7201,14.82288,14.1169,14.79809,13.61397,14.03361,14.81951,15.27181,15.4244,14.85676,13.66746
"SH3GL1",18.5224,18.11315,18.59558,18.14774,18.13807,18.4088,18.34657,18.2058,18.15174,18.31854,18.27757,17.76429,18.22435,18.19614,18.10483,18.39746,18.04263,17.9996,17.99414,18.10345,18.14677,17.95851
"NIPSNAP1",16.84707,16.42442,16.77578,16.77937,16.80594,16.67167,16.63651,16.86916,16.76159,16.73007,16.58304,16.6206047338483,17.26118,17.58468,17.07122,16.63173,16.64148,16.7599,17.4027,17.35639,16.54413,16.92779
"MACROD1",15.95217,16.03714,15.32918,15.87719,15.7178871461544,15.99791,15.82046,16.05144,15.656259521279,15.83706,15.5567979758846,15.54084,15.47343,15.1270898714642,14.6438140315082,15.12723,15.14348,15.90416,15.96433,15.10545,15.3285510269659,15.31148
"VKORC1",18.24701,18.38166,18.4393,18.19983,18.48155,19.09148,18.7839,18.44298,18.69922,18.43514,18.92724,18.59111,18.75337,18.17402,18.72635,18.34906,18.58442,18.78237,18.2951,18.99567,18.92462,18.7209257241026
"MRPL57",15.381186773636,15.29144,15.27789,15.59981,15.42186,15.42051,15.36315,15.22777,15.32094,15.39834,14.64064,15.0243398094888,14.938,14.7569133520054,14.9017903316258,14.92022,15.21493,15.70793,15.6404452597502,15.5062330557261,15.23732,14.78461
"TUBA1C",22.88047,21.95494,22.56174,22.54609,22.06789,22.27689,22.23587,21.98251,22.41758,22.34648,21.94941,21.20171,23.23187,23.31612,23.00283,23.20265,22.55299,22.20912,22.54984,22.51584,22.04238,22.79783
"FYCO1",15.70151,15.99929,15.35582,15.75607,15.67022,15.35974,15.9083,16.01824,15.44206,15.76652,15.65034,15.6317643065524,16.1831,15.57982,15.56814,15.63598,15.89203,15.42636,15.1826064357361,15.4027877729576,15.776,15.15562
