"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"NAPA","374019.16","282069.56","365401.84","316895.1","253222.52","284237.1","309979.0","280279.8","356646.78","322872.47","266802.1","252914.64","402051.44","360255.22","365154.4","425081.56","367763.38","242628.4","241844.92","223541.08","263274.34","295548.06"
"ADPRH","0.0","0.0","0.0","0.0","0.0","30328.637","0.0","0.0","0.0","0.0","0.0","37290.562","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"EIF5","175909.36","115762.03","149328.31","163166.5","128010.91","121255.266","118850.4","104070.87","143466.73","119453.2","110084.41","93979.72","165596.42","123724.055","102666.98","234249.19","156345.16","90698.61","0.0","51853.664","130447.4","156129.52"
"SLC12A2","0.0","0.0","22350.672","0.0","0.0","0.0","37109.62","0.0","0.0","0.0","0.0","0.0","42411.83","0.0","0.0","23395.479","21482.883","0.0","0.0","0.0","0.0","0.0"
"PSMD4","377233.78","198264.31","289487.62","242412.98","209383.86","221418.58","199262.31","177257.56","301684.25","230707.75","244565.5","294593.53","244717.19","322471.38","237236.33","369054.03","250183.08","213225.25","240110.39","201053.56","210276.77","247126.88"
"DRG2","41967.66","49632.832","47922.08","51563.44","46415.867","54492.92","49807.477","53399.94","54744.188","63260.984","57035.637","63605.89","35707.87","52681.2","52932.48","40824.758","38260.63","56128.133","35591.684","48777.258","54211.68","48712.67"
"RRAD","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40991.742","28051.143","0.0","26165.71","0.0","0.0","0.0","0.0","0.0","0.0"
"CSE1L","239653.3","237125.47","215270.67","216276.02","206848.92","191427.34","225879.73","222482.11","246228.72","185661.8","251166.73","279102.97","281739.44","220233.05","221648.2","223764.5","224999.05","282285.1","232515.42","256185.12","222795.22","220459.72"
"TMBIM6","0.0","0.0","0.0","33063.605","0.0","0.0","0.0","0.0","31040.395","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"VCP","954188.44","705867.3","969887.3","817969.0","697723.6","912906.75","821566.7","747257.75","994254.56","946611.9","772848.75","612008.7","975863.0","1031492.6","919269.3","1121459.1","800599.8","795354.75","803550.1","786553.4","911990.25","799923.06"
"HADHB","261440.7","183055.11","231035.03","280038.4","215349.9","233869.2","233062.28","252751.73","324322.12","306005.97","275424.06","209638.12","325705.7","265092.9","183131.05","321025.03","235629.34","308867.0","275925.22","235132.45","223386.06","343971.5"
"MANF","287378.75","234011.1","240854.55","243544.61","230645.2","222281.48","239258.11","206017.83","219626.2","228150.1","208821.61","207512.25","270288.12","350991.38","406228.7","280317.2","285354.66","289744.22","332144.4","304358.75","329881.5","285811.66"
