"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"CBR1",15.81567,15.6156,16.30469,15.36767,16.60952,16.11584,15.78229,15.81644,16.03,16.14538,16.40796,16.34228,16.5048,16.84234,16.97391,17.05888,16.64867,16.66654,16.68387,16.30589,16.60025,16.57219
"CBR1;CBR3",16.53035,16.39335,17.25479,16.26022,17.03449,16.88985,16.54109,16.48041,16.70632,16.6696,17.19313,17.15405,16.51565,17.44895,17.01211,17.61172,16.77882,17.43583,16.33968,17.16802,16.77337,16.75874
"CBR3",13.75296,13.26469,13.82745,13.27666,14.58211,13.81957,13.56547,13.38007,13.73704,13.39792,13.99702,14.06662,13.11114,13.75643,12.69391,12.55437,12.24015,12.32056,13.46735,13.44455,13.22727,13.17814
"CBS",12.48534,12.91714,11.38964,11.88359,11.22774,11.70894,11.80751,11.02933,12.5041,12.75169,11.89646,11.67374,11.051,11.83849,11.34732,11.97656,13.15973,13.35429,12.3129,12.40087,12.7125,12.0369
"CBX1",12.33009,11.4489,12.41403,11.20004,13.13322,12.43125,12.48844,12.91487,12.09351,11.77632,12.37527,12.14371,12.11907,12.0348,11.53091,9.77268,12.26282,11.83199,12.44637,12.26515,12.85053,12.49021
"CBX3",13.43968,13.21362,13.90685,12.90943,14.3154,13.91834,14.2574,14.05187,13.42862,13.33408,13.74083,13.58091,13.11811,13.43175,12.5474,12.53803,12.78558,12.92903,13.68441,13.68447,13.97987,13.43122
"CBX5",11.64593,10.46816,11.55877,10.19401,12.17135,11.46474,12.15715,11.99632,11.79751,10.85908,11.61388,11.41539,11.55335,10.4755,10.12714,10.0377213362135,10.32974,10.0969057669662,11.45474,11.19564,11.23273,11.12788
"CC2D1A",12.08761,11.84017,11.63595,11.40075,11.99047,11.78924,11.4241,11.56934,11.85969,11.54925,11.86644,11.95159,11.40068,11.07051,11.9197,10.21348,10.95056,10.7593,11.68533,11.71499,11.73414,11.74982
"CC2D1B",12.1641,11.3721,12.12624,11.58849,12.63481,12.53357,12.36265,12.30397,12.45191,12.13392,12.48644,12.10322,11.96087,12.13525,12.03742,10.8719,12.17336,11.00199,12.36058,12.81077,12.49823,12.27932
"CCAR1",12.53205,11.93322,12.40093,11.33549,12.84009,13.21553,12.96557,13.0157,12.74336,12.37603,12.28275,12.37526,12.14004,11.56198,10.7124405356972,11.50883,9.83077,11.079,11.84773,13.06,12.48116,12.85216
"CCDC124",13.8326,13.41404,13.6935,13.19906,14.11933,13.75682,13.77807,13.79632,13.93155,13.46766,13.56869,13.70928,12.68501,13.19686,13.02727,13.00011,13.28659,12.59782,13.33506,13.66438,13.73366,13.39319
"CCDC127",10.87852,10.3374,11.37381,11.64267,10.65769,11.33364,11.2841,11.4828,10.70902,11.30375,11.43363,11.18413,10.8642,12.26863,10.84174,11.08177,10.45018,11.52416,10.62183,11.25547,11.30589,11.04287
"CCDC134",10.82349,10.32761,11.22145,11.21288,11.37242,10.35188,10.56424,10.60607,9.94714,10.77228,11.40152,10.53998,10.01035,11.58124,10.48485,10.07363,10.84365,10.46599,10.61309,10.59241,10.91248,10.62211
